     Total   Exclusive  Set shared  Filename
     0.00B       0.00B           -  /var/lib/systemd/migrated/rtkit-daemon
     0.00B       0.00B           -  /var/lib/systemd/migrated/saned
     0.00B       0.00B           -  /var/lib/systemd/migrated/avahi-dnsconfd
     0.00B       0.00B           -  /var/lib/systemd/migrated/avahi-daemon
     0.00B       0.00B           -  /var/lib/systemd/migrated/pcscd
     0.00B       0.00B           -  /var/lib/systemd/migrated/upower
     0.00B       0.00B           -  /var/lib/systemd/migrated/bluetooth
     0.00B       0.00B           -  /var/lib/systemd/migrated/winbind
     0.00B       0.00B           -  /var/lib/systemd/migrated/cvs
     0.00B       0.00B           -  /var/lib/systemd/migrated/svnserve
     0.00B       0.00B           -  /var/lib/systemd/migrated/vboxdrv
     0.00B       0.00B           -  /var/lib/systemd/migrated/vboxautostart
     0.00B       0.00B           -  /var/lib/systemd/migrated/gkrellmd
     0.00B       0.00B           -  /var/lib/systemd/migrated/timidity
     0.00B       0.00B           -  /var/lib/systemd/migrated/mariadb
     0.00B       0.00B           -  /var/lib/systemd/migrated
 136.00KiB   136.00KiB           -  /var/lib/systemd/catalog/database
 136.00KiB   136.00KiB           -  /var/lib/systemd/catalog
     0.00B       0.00B           -  /var/lib/systemd/sysv-convert
     0.00B       0.00B           -  /var/lib/systemd/random-seed
     0.00B       0.00B           -  /var/lib/systemd/coredump
     0.00B       0.00B           -  /var/lib/systemd/backlight/pci-0000:02:00.0:backlight:acpi_video1
     0.00B       0.00B           -  /var/lib/systemd/backlight/pci-0000:02:00.0:backlight:acpi_video0
     0.00B       0.00B           -  /var/lib/systemd/backlight
     0.00B       0.00B           -  /var/lib/systemd/rfkill/pci-0000:04:00.0:wlan
     0.00B       0.00B           -  /var/lib/systemd/rfkill
     0.00B       0.00B           -  /var/lib/systemd/timers/stamp-btrfs-scrub.timer
     0.00B       0.00B           -  /var/lib/systemd/timers/stamp-backup-rpmdb.timer
     0.00B       0.00B           -  /var/lib/systemd/timers/stamp-btrfs-balance.timer
     0.00B       0.00B           -  /var/lib/systemd/timers/stamp-btrfs-trim.timer
     0.00B       0.00B           -  /var/lib/systemd/timers/stamp-logrotate.timer
     0.00B       0.00B           -  /var/lib/systemd/timers/stamp-backup-sysconfig.timer
     0.00B       0.00B           -  /var/lib/systemd/timers/stamp-check-battery.timer
     0.00B       0.00B           -  /var/lib/systemd/timers/stamp-fstrim.timer
     0.00B       0.00B           -  /var/lib/systemd/timers/stamp-btrfs-defrag.timer
     0.00B       0.00B           -  /var/lib/systemd/timers/stamp-mandb.timer
     0.00B       0.00B           -  /var/lib/systemd/timers
 136.00KiB   136.00KiB           -  /var/lib/systemd
   4.00KiB     4.00KiB           -  /var/lib/ca-certificates/openssl/ACCVRAIZ1.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/AC_RAIZ_FNMT-RCM.pem
   4.00KiB     4.00KiB           -  /var/lib/ca-certificates/openssl/Actalis_Authentication_Root_CA.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/AddTrust_External_Root.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/AddTrust_Low-Value_Services_Root.pem
     0.00B       0.00B           -  /var/lib/ca-certificates/openssl/AffirmTrust_Commercial.pem
